ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
57;PRC;Health;Safety;Assisted;8370;837380;Lao;Finished;15;individuals
55;PRC;Health;Safety;Assisted;7220;722310;;Finished;25;individuals
34;PRC;Relief;Food;Blanket;8780;878050;Bacolod;Finished;15;families
31;PRC;Relief;Food;Blanket;8780;878050;Bool Central;Finished;55;families
32;PRC;Relief;Food;Blanket;8780;878050;Bool Central;Finished;65;families
33;PRC;Relief;Food;Blanket;8780;878050;Patag;Finished;67;families
35;PRC;Relief;Food;Blanket;8780;878050;Bitongto-an;Finished;70;families
30;PRC;Relief;Food;Blanket;8780;878050;Bool East;Finished;78;families
80;PRC;Health;Safety;BP Taking;1667;166724;Lipata;Finished;2;individuals
65;PRC;Health;Safety;BP Taking;6300;630350;;Finished;14;individuals
82;PRC;Health;Safety;BP Taking;1667;166724;;Finished;26;individuals
81;PRC;Health;Safety;BP Taking;1667;166724;;Finished;40;individuals
39;PRC;Health;Safety;BP Taking;7460;746110;;Finished;41;individuals
8;PRC;Health;Safety;BP Taking;4100;410050;;Finished;66;individuals
2;PRC;Health;Welfare;Child Friendly Activity;6300;630050;;Finished;78;individuals
58;PRC;Relief;Non Food Items;Clothing;8370;837380;Manlilinao;Finished;40;families
18;PRC;Relief;Non Food Items;Clothing (Individual);1752;175204;Nasucob;Finished;296;individuals
17;PRC;Relief;Non Food Items;Clothing (Individual);1752;175204;Cambunang;Finished;602;individuals
38;PRC;Health;Safety;First Aid;7460;746110;;Finished;1;individual
79;PRC;Health;Safety;First Aid;1667;166724;Lipata;Finished;1;individual
22;PRC;Health;Safety;First Aid Station;7220;722170;;Finished;1;unit
40;PRC;Health;Safety;First Aid Station;7460;746110;;Finished;1;unit
51;PRC;Health;Safety;First Aid Station;5410;541110;;Finished;1;unit
60;PRC;Health;Safety;First Aid Station;8370;837380;;Finished;1;unit
71;PRC;Health;Safety;First Aid Station;1759;175910;;Finished;1;unit
83;PRC;Health;Safety;First Aid Station;1667;166724;Lipata;Finished;1;unit
84;PRC;Health;Safety;First Aid Station;1667;166724;;Finished;1;unit
85;PRC;Health;Safety;First Aid Station;1667;166724;;Finished;1;unit
68;PRC;Relief;Food;Food Items (Assorted);6190;619130;;Finished;3;families
